session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
bnwhita6,12,edbc27pr,5,survey,Part3,1605553095,1,0,0
hap6zgo3,1,655c2l34,8,display_matches_narrative,Task,1605553095,1,0,0
pqntdh2k,5,6r6acce7,5,survey,Part3,1605553097,1,0,0
bnwhita6,6,zgjjad4e,5,survey,Part3,1605553097,1,0,0
hap6zgo3,8,2coyn6vs,9,ios_continuous,Intro,1605553098,1,0,0
hap6zgo3,6,m0c2chrw,5,survey,Part3,1605553098,1,0,0
pqntdh2k,3,rn4t4k3v,6,survey,Part4,1605553100,1,0,0
hap6zgo3,8,2coyn6vs,10,ios_continuous,Task,1605553101,1,0,0
hap6zgo3,7,l1reowvo,9,ios_continuous,Intro,1605553101,1,0,0
bnwhita6,10,vfvk3rlg,8,display_matches_narrative,Task,1605553102,1,0,0
hap6zgo3,8,2coyn6vs,11,filler,Intro,1605553103,1,0,0
hap6zgo3,9,3x99ecn2,3,survey,Part1,1605553104,1,0,0
morw9hf0,4,xkqb0ukb,13,filler,Result,1605553105,1,0,0
bnwhita6,10,vfvk3rlg,9,ios_discrete_pictures,Intro,1605553107,1,0,0
hap6zgo3,7,l1reowvo,10,ios_continuous,Task,1605553109,1,0,0
pqntdh2k,4,licb3t81,13,filler,Result,1605553109,1,0,0
bnwhita6,10,vfvk3rlg,10,ios_discrete_pictures,Task,1605553110,1,0,0
bnwhita6,3,skexgddt,8,display_matches_narrative,Task,1605553112,1,0,0
hap6zgo3,7,l1reowvo,11,filler,Intro,1605553113,1,0,0
morw9hf0,4,xkqb0ukb,14,ios_discrete_pictures,Intro,1605553114,1,0,0
pqntdh2k,10,nvt24y3w,3,survey,Part1,1605553114,1,0,0
bnwhita6,1,d4bg9mk7,5,survey,Part3,1605553115,1,0,0
morw9hf0,10,8v7ekppc,4,survey,Part2,1605553116,1,0,0
morw9hf0,2,w4ytqlkk,9,ios_discrete,Intro,1605553118,1,0,0
pqntdh2k,1,0tq85pbh,14,ios_continuous,Intro,1605553119,1,0,0
bnwhita6,3,skexgddt,9,ios_discrete_pictures,Intro,1605553120,1,0,0
morw9hf0,4,xkqb0ukb,15,ios_discrete_pictures,Task,1605553120,1,0,0
pqntdh2k,2,kggjvibp,12,filler,Task,1605553122,1,0,0
bnwhita6,10,vfvk3rlg,11,filler,Intro,1605553123,1,0,0
pqntdh2k,2,kggjvibp,13,filler,Result,1605553127,1,0,0
morw9hf0,2,w4ytqlkk,10,ios_discrete,Task,1605553128,1,0,0
bnwhita6,3,skexgddt,10,ios_discrete_pictures,Task,1605553128,1,0,0
morw9hf0,4,xkqb0ukb,16,outro,Feedback,1605553129,1,0,0
bnwhita6,3,skexgddt,11,filler,Intro,1605553135,1,0,0
bnwhita6,6,zgjjad4e,6,survey,Part4,1605553141,1,0,0
morw9hf0,2,w4ytqlkk,11,filler,Intro,1605553141,1,0,0
pqntdh2k,1,0tq85pbh,15,ios_continuous,Task,1605553141,1,0,0
pqntdh2k,1,0tq85pbh,16,outro,Feedback,1605553145,1,0,0
morw9hf0,10,8v7ekppc,5,survey,Part3,1605553145,1,0,0
bnwhita6,6,zgjjad4e,7,display_matches_narrative,Intro,1605553146,1,0,0
hap6zgo3,1,655c2l34,9,ios_continuous,Intro,1605553146,1,0,0
hap6zgo3,4,tceg3h82,12,filler,Task,1605553147,1,0,0
pqntdh2k,6,nlo4xyhg,9,ios_discrete_pictures,Intro,1605553148,1,0,0
pqntdh2k,2,kggjvibp,14,ios_continuous,Intro,1605553149,1,0,0
bnwhita6,12,edbc27pr,6,survey,Part4,1605553151,1,0,0
pqntdh2k,5,6r6acce7,6,survey,Part4,1605553152,1,0,0
bnwhita6,2,ixyuw6pl,6,survey,Part4,1605553154,1,0,0
hap6zgo3,1,655c2l34,10,ios_continuous,Task,1605553155,1,0,0
pqntdh2k,3,rn4t4k3v,7,display_matches_narrative,Intro,1605553156,1,0,0
hap6zgo3,4,tceg3h82,13,filler,Result,1605553156,1,0,0
pqntdh2k,6,nlo4xyhg,10,ios_discrete_pictures,Task,1605553157,1,0,0
hap6zgo3,1,655c2l34,11,filler,Intro,1605553159,1,0,0
pqntdh2k,5,6r6acce7,7,display_matches_narrative,Intro,1605553159,1,0,0
pqntdh2k,6,nlo4xyhg,11,filler,Intro,1605553160,1,0,0
hap6zgo3,4,tceg3h82,14,ios_discrete_pictures,Intro,1605553163,1,0,0
pqntdh2k,2,kggjvibp,15,ios_continuous,Task,1605553167,1,0,0
hap6zgo3,4,tceg3h82,15,ios_discrete_pictures,Task,1605553170,1,0,0
hap6zgo3,8,2coyn6vs,12,filler,Task,1605553173,1,0,0
bnwhita6,12,edbc27pr,7,display_matches_narrative,Intro,1605553173,1,0,0
pqntdh2k,2,kggjvibp,16,outro,Feedback,1605553175,1,0,0
hap6zgo3,8,2coyn6vs,13,filler,Result,1605553176,1,0,0
pqntdh2k,4,licb3t81,14,ios_continuous,Intro,1605553176,1,0,0
hap6zgo3,4,tceg3h82,16,outro,Feedback,1605553176,1,0,0
hap6zgo3,10,c48i5k3t,3,survey,Part1,1605553177,1,0,0
bnwhita6,11,8vaspqqx,4,survey,Part2,1605553178,1,0,0
morw9hf0,5,l73tpu9u,6,survey,Part4,1605553180,1,0,0
hap6zgo3,8,2coyn6vs,14,ios_discrete_pictures,Intro,1605553180,1,0,0
hap6zgo3,8,2coyn6vs,15,ios_discrete_pictures,Task,1605553184,1,0,0
hap6zgo3,8,2coyn6vs,16,outro,Feedback,1605553186,1,0,0
morw9hf0,10,8v7ekppc,6,survey,Part4,1605553190,1,0,0
morw9hf0,10,8v7ekppc,7,display_matches_narrative,Intro,1605553193,1,0,0
bnwhita6,12,edbc27pr,8,display_matches_narrative,Task,1605553193,1,0,0
pqntdh2k,4,licb3t81,15,ios_continuous,Task,1605553196,1,0,0
hap6zgo3,11,xpbnih11,1,intro,Welcome,1605553196,1,0,0
bnwhita6,10,vfvk3rlg,12,filler,Task,1605553199,1,0,0
bnwhita6,13,zwa0dnmw,3,survey,Part1,1605553199,1,0,0
hap6zgo3,11,xpbnih11,2,survey,Intro,1605553200,1,0,0
pqntdh2k,4,licb3t81,16,outro,Feedback,1605553200,1,0,0
pqntdh2k,9,raccuakz,4,survey,Part2,1605553200,1,0,0
pqntdh2k,10,nvt24y3w,4,survey,Part2,1605553203,1,0,0
bnwhita6,2,ixyuw6pl,7,display_matches_narrative,Intro,1605553204,1,0,0
bnwhita6,12,edbc27pr,9,ios_discrete_pictures,Intro,1605553205,1,0,0
bnwhita6,10,vfvk3rlg,13,filler,Result,1605553210,1,0,0
bnwhita6,12,edbc27pr,10,ios_discrete_pictures,Task,1605553210,1,0,0
hap6zgo3,7,l1reowvo,12,filler,Task,1605553216,1,0,0
morw9hf0,10,8v7ekppc,8,display_matches_narrative,Task,1605553218,1,0,0
